ID US,User Story (US),ID Tache (T),Taches (analyse -> dev -> test),Estimation (en minute),Responsable
1.1,En tant que visiteur je peux creer un compte.,T1.1,Concevoir le flux d'inscription et les regles de validation.,45,Analyste/Concepteur
1.1,En tant que visiteur je peux creer un compte.,T1.2,Creer ou mettre a jour la table user (email unique mot de passe role statut).,60,Admin BD
1.1,En tant que visiteur je peux creer un compte.,T1.3,Developper formulaire d'inscription et controleur Symfony.,120,Developpeur Back
1.1,En tant que visiteur je peux creer un compte.,T1.4,Implementer hash mot de passe et envoi email de confirmation.,90,Developpeur Back
1.1,En tant que visiteur je peux creer un compte.,T1.5,Creer cas de test (validation email deja existant succes).,60,Testeur QA
1.2,En tant qu'utilisateur je peux me connecter/deconnecter.,T2.1,Definir regles d'authentification et messages d'erreur.,30,Analyste
1.2,En tant qu'utilisateur je peux me connecter/deconnecter.,T2.2,Configurer securite Symfony (firewall access_control login logout).,90,Developpeur Back
1.2,En tant qu'utilisateur je peux me connecter/deconnecter.,T2.3,Integrer page login et gestion session remember me.,75,Developpeur Front
1.2,En tant qu'utilisateur je peux me connecter/deconnecter.,T2.4,Tester scenarios login valide/invalide et logout.,45,Testeur QA
1.3,En tant qu'admin je peux lister et rechercher les utilisateurs.,T3.1,Concevoir filtres (nom email role statut) et pagination.,45,Analyste/Concepteur
1.3,En tant qu'admin je peux lister et rechercher les utilisateurs.,T3.2,Developper endpoint liste et requetes filtrees.,120,Developpeur Back
1.3,En tant qu'admin je peux lister et rechercher les utilisateurs.,T3.3,Construire interface tableau filtres et pagination.,120,Developpeur Front
1.3,En tant qu'admin je peux lister et rechercher les utilisateurs.,T3.4,Preparer jeux de donnees de test.,45,Admin BD
1.3,En tant qu'admin je peux lister et rechercher les utilisateurs.,T3.5,Tests fonctionnels liste recherche pagination.,60,Testeur QA
1.4,En tant qu'admin je peux creer modifier supprimer un utilisateur.,T4.1,Definir regles metier CRUD (champs obligatoires contraintes).,45,Analyste
1.4,En tant qu'admin je peux creer modifier supprimer un utilisateur.,T4.2,Developper endpoints CRUD securises (ROLE_ADMIN).,150,Developpeur Back
1.4,En tant qu'admin je peux creer modifier supprimer un utilisateur.,T4.3,Developper formulaires UI CRUD et confirmations suppression.,120,Developpeur Front
1.4,En tant qu'admin je peux creer modifier supprimer un utilisateur.,T4.4,Gerer validations backend frontend et messages d'erreur.,60,Developpeur Fullstack
1.4,En tant qu'admin je peux creer modifier supprimer un utilisateur.,T4.5,Tests unitaires et tests d'integration CRUD.,90,Testeur QA
1.5,En tant qu'utilisateur je peux modifier mon profil.,T5.1,Definir champs modifiables et regles d'acces.,30,Analyste
1.5,En tant qu'utilisateur je peux modifier mon profil.,T5.2,Developper endpoint profil (GET/PUT me).,90,Developpeur Back
1.5,En tant qu'utilisateur je peux modifier mon profil.,T5.3,Developper ecran profil et upload avatar (optionnel).,120,Developpeur Front
1.5,En tant qu'utilisateur je peux modifier mon profil.,T5.4,Implementer changement mot de passe (ancien nouveau confirmation).,90,Developpeur Back
1.5,En tant qu'utilisateur je peux modifier mon profil.,T5.5,Executer tests profil et securite acces.,60,Testeur QA
1.6,En tant qu'admin je peux gerer les roles et statuts des utilisateurs.,T6.1,Definir matrice des permissions (USER ADMIN etc.).,45,Architecte/PO
1.6,En tant qu'admin je peux gerer les roles et statuts des utilisateurs.,T6.2,Implementer modification role statut et audit des changements.,120,Developpeur Back
1.6,En tant qu'admin je peux gerer les roles et statuts des utilisateurs.,T6.3,Ajouter interface d'edition roles statuts dans admin.,90,Developpeur Front
1.6,En tant qu'admin je peux gerer les roles et statuts des utilisateurs.,T6.4,Ajouter logs audit en base (qui quoi quand).,60,Admin BD
1.6,En tant qu'admin je peux gerer les roles et statuts des utilisateurs.,T6.5,Tests d'autorisation et non-regression securite.,75,Testeur QA
1.7,En tant qu'utilisateur je peux reinitialiser mon mot de passe (mot de passe oublie).,T7.1,Definir regles du flux forgot password (token expiration limitations anti-abus).,45,Analyste
1.7,En tant qu'utilisateur je peux reinitialiser mon mot de passe (mot de passe oublie).,T7.2,Creer table/champs reset token (token hash expiration utilise_at).,60,Admin BD
1.7,En tant qu'utilisateur je peux reinitialiser mon mot de passe (mot de passe oublie).,T7.3,Developper endpoint demande reinitialisation et envoi email securise.,120,Developpeur Back
1.7,En tant qu'utilisateur je peux reinitialiser mon mot de passe (mot de passe oublie).,T7.4,Developper endpoint/formulaire de definition du nouveau mot de passe via token.,120,Developpeur Fullstack
1.7,En tant qu'utilisateur je peux reinitialiser mon mot de passe (mot de passe oublie).,T7.5,Implementer securite (token unique expiration invalidation apres usage rate limit).,90,Developpeur Back
1.7,En tant qu'utilisateur je peux reinitialiser mon mot de passe (mot de passe oublie).,T7.6,Tests fonctionnels et de securite du flux de reinitialisation.,75,Testeur QA
